corp_code,종목코드
00260985,036720
00264529,040130
00358545,055000
00231567,032600
00359614,056140
00153551,012400
00344746,045880
00261188,037830
00268020,030390
00269287,041320
00475286,078420
00250775,046350
00114321,013650
00191108,015390
00167378,019640
00225210,058690
00223346,035400
00174129,024100
00114826,026540
00173333,016510
00687599,950030
00256292,036790
00271431,038830
00154727,020070
00246189,037110
00154204,007490
00152631,017300
00358095,056850
00510215,082110
00347619,045760
00372013,062730
00353735,055250
00186540,022520
00128759,004620
00535588,089240
00264981,045260
00231521,032380
00159908,009690
00259493,035710
00359641,114410
00161639,012420
00211271,034660
00388272,065340
00264796,043680
00134909,035010
00236368,048640
00684547,103150
00251385,066690
00262682,040740
00234555,038420
00507257,084810
00417963,067850
00543523,086720
00300566,054170
00299376,054010
00112068,001190
00257194,033720
00477372,078700
00465410,076850
00331760,048510
00200761,030030
00268297,042870
00161301,021060
00237260,036270
00297970,037510
00107358,032030
00267474,043630
00134051,013240
00596066,093820
00347363,052310
00150226,008400
00152914,001370
00158839,017010
00159281,011050
00210537,065410
00240370,044640
00247887,051820
00268358,046240
00316488,060750
00264130,043790
00540304,088020
00617299,094950
00262275,052210
00200798,032930
00335924,061050
00111591,014010
00189343,007800
00252588,046320
00267997,031800
00299686,060670
00463050,074140
00238913,068770
00107446,003020
00114303,015940
00318617,045820
00267775,031960
00394574,067950
00110176,008320
00136554,017050
00144562,024870
00370547,058550
00242439,035950
00134060,000790
00392600,058900
00259855,039990
00385451,066340
00258944,047600
00798530,122290
00451268,077960
00336570,063280
00363325,079870
00148188,032150
00508566,080570
00133928,004230
00540784,084160
00298252,061140
00264556,038690
00581000,090090
00359094,054120
00686970,105380
00255309,035500
00362380,054650
00244862,033880
00297165,042100
00105767,016990
00173397,001600
00259606,036660
00178471,037020
00331733,049690
00104892,023670
00647917,101790
00597764,094520
00355821,088960
00329677,052650
00244871,032390
00246383,035830
00345499,048130
00348140,045400
00215107,047450
00560991,088810
00265263,037700
00142564,013200
00198572,023020
00642648,900020
00537443,078670
00113173,007480
00441872,073130
00480844,079340
00262044,053070
00101442,032570
00295875,045380
00441298,080140
00263885,045290
00475532,076090
00130204,033190
00128731,007050
00325981,047370
00540021,085680
00362089,052970
00228916,030420
00114215,025970
00109648,016160
00261212,037320
00348007,059720
00275808,048760
00375579,063350
00197324,025460
00339063,052560
00538497,084240
00225140,033260
00101947,018890
00287724,041800
00347840,052640
00504357,080410
00269339,041450
00634959,098150
00267094,039350
00142698,006210
00350057,057100
00721981,108070
00248691,037150
00335562,056200
00369675,045710
00265078,039040
00267809,019430
00314000,037550
00355292,052810
00386557,056010
00548865,088010
00221320,036550
00124054,007830
00301486,068630
00311298,053470
00348557,047710
00265342,038920
00156734,027840
00208693,036850
00128953,014420
00428792,069470
00148744,000610
00518873,083120
00300779,051530
00397766,066850
00174305,004820
00320807,048140
00106492,004790
00592583,093400
00275260,048460
00183914,025920
00481676,081220
00104971,000470
00269773,040180
00334767,046720
00453752,073930
00140919,015050
00255840,036210
00133034,012090
00161028,004550
00174475,018410
00251482,034010
00824659,126680
00259536,037540
00505198,080980
00679730,101990
00803504,122750
00350118,054150
00352295,041630
00240088,036920
00560025,090540
00140380,003640
00101275,001670
00797674,121910
00244589,033850
00802028,123290
00371519,066060
00126593,071660
00220181,089480
00254009,036610
00505541,081190
00240398,034510
00828309,128910
00349468,053040
00808262,123300
00252393,049000
00229818,032420
00154189,008540
00680161,900030
00102645,012410
00844884,950070
00592592,093410
00268437,010670
00798284,121950
00164195,037380
00264811,045470
00676380,110310
00543231,091690
00122436,011800
00505189,080970
00271413,040020
00245296,065610
00480905,085990
00890333,149130
00510534,081930
00150855,007200
00173634,009010
00830377,900150
00224567,066300
00582054,081090
00125929,014900
00502793,080180
00505550,081200
00104704,025610
00361035,056710
00630111,900010
00264802,038720
00399773,064420
00257529,041030
00804114,123550
00416706,071530
00173324,019120
00121729,004010
00808226,124050
00162577,019260
00812229,123910
00351153,056810
00126885,008080
00264741,042820
00266989,038120
00260693,037240
00267951,013780
00804983,123160
00502474,080030
00579379,105070
00264857,041060
00375302,053000
00264848,042340
00251190,034600
00694003,900060
00505170,080960
00259439,035450
00207436,046430
00408585,072530
00115038,003330
00288653,042570
00303837,045310
00330017,047420
00264769,038810
00308948,053890
00321222,073780
00361202,066200
00450728,078610
00535773,081500
00152950,011020
00296069,050600
00521956,083160
00360540,060550
00593519,093730
00194372,032050
00154693,036900
00106650,005330
00368791,064720
00220552,035270
00294371,041940
00353683,053170
00252375,071360
00260903,036360
00261461,038410
00265218,036760
00471989,076170
00306986,065910
00356644,054440
00305695,056060
00257051,065810
00459589,073530
00366164,057110
00436728,072450
00136235,003990
00328854,048270
00120960,009890
00119733,032590
00119423,033330
00557067,089170
00557058,089180
00557030,089200
00557049,089190
00244330,038960
00120100,012990
00246657,058680
00130037,009790
00405074,066330
00398534,067910
00165200,005760
00150183,015670
00268482,044370
00363033,060660
00364227,055970
00458915,073470
00386876,064900
00543073,085450
00160445,025830
00554468,088510
00165565,016040
00300256,037060
00138491,001830
00102821,003660
00377814,060410
00364670,056020
00143013,012460
00263991,041310
00105183,010200
00173254,025450
00101637,009220
00124513,003930
00154417,009080
00119362,008780
00140353,016970
00170451,038400
00267793,033210
00260639,037250
00153852,018180
00248956,036820
00390028,063510
00260888,037750
00275710,039000
00172103,027440
00263955,038050
00261601,035870
00265254,037220
00255266,037730
00259916,035780
00131434,001150
00271352,043690
00244932,036020
00348052,053250
00367598,055810
00267720,054530
00147949,004190
00203458,025690
00130000,008030
00145534,032180
00425360,070540
00141334,002850
00384452,048150
00103583,003590
00162142,005890
00236021,054080
00106483,019930
00208374,027350
00309983,048540
00277727,037500
00136217,006150
00229827,038980
00247902,037010
00318477,046000
00246815,037650
00260921,038100
00247762,036880
00350224,056500
00101992,006750
00151614,009360
00179832,032610
00241120,036910
00277985,036060
00325918,036590
00110981,009940
00104467,031150
00257361,047610
00358730,054370
00248406,045920
00110963,000380
00267021,042960
00330406,049370
00110079,027700
00141440,036600
00135670,001580
00144933,023420
00371139,066480
00218654,031970
00115852,002950
00113696,001980
00253514,037120
00105509,010730
00163178,001280
00264185,039580
00265157,035960
00270405,039390
00125406,002930
00258731,035910
00822572,144630
00580603,090970
00580612,090980
00317830,086830
00311030,037620
00439053,050640
00992312,194860
00580621,090990
00580630,091000
00262123,050050
00533696,083610
00533757,083600
00533580,083570
01041217,204760
00533793,083580
00533836,083590
00144766,004320
00525527,082930
00372989,058370
00529523,083360
00526474,083390
00302801,074130
00124018,025270
00255071,034750
00364926,065270
00350491,160350
00450214,088700
01022054,222520
00164955,011720
00790501,117930
00272412,045050
00207542,025930
00394778,068150
00446460,078780
00188946,017170
00137702,007190
00418476,074150
00587101,092630
00351047,053810
00778040,114130
00778059,114140
00126229,000830
00496003,082390
00359030,063840
00510914,081940
00697329,108890
00149664,015110
00318839,042950
00130897,002860
00183260,071930
00246347,039850
00599230,950010
00970277,179280
00122922,002530
00116860,016420
00505569,081210
00160612,025850
00659435,224090
00232317,033030
00130860,031950
00113632,026230
00837680,134000
00130815,016560
00248123,040670
00788807,121550
00270432,043890
00648697,102000
00165529,013450
00419989,067130
00637114,099210
00361114,056340
00125628,158380
00265227,037630
00267669,044440
00693800,119250
00991012,187770
00164469,010520
00586652,092970
00345657,052350
00810531,181980
00127370,026250
00261124,038320
00244729,035210
00138127,008900
00156521,010460
00120377,000420
00136970,014350
00148328,001300
00842479,139170
00907660,950100
00351269,053870
00350251,052880
00206127,033280
00846396,138440
00144155,003600
00678281,103650
00314888,051710
00653990,110500
00451116,072430
00159926,010150
00648688,101380
00512550,082240
00512532,082260
00512541,082250
01047929,207930
01064315,215580
01047567,207720
01043871,204650
01065536,215750
00636045,110570
00632331,189700
00974459,156170
00461690,085980
01111057,232290
00823687,900130
00318538,232360
00855145,139200
01046179,206660
00110495,005620
00722500,900050
00533678,083620
01047716,208870
00686147,104120
00686068,104110
00163619,061460
00967778,192240
01038161,204440
00267960,036500
00529310,083350
01080410,219580
00413824,086200
01090301,222390
01010572,256090
01075047,218710
01089828,221200
01087079,219860
01072660,217810
01091391,223040
01089961,221950
01089387,219960
01111765,252940
01115257,246830
01109186,230490
01095892,235090
00130949,016170
00202778,051170
01090921,237720
01102800,226850
00148717,008000
00959265,207230
00447478,095300
00163789,090730
00838421,130960
01094565,225440
00842327,900180
00156044,024660
00109170,004130
00207223,026260
00454265,087220
01170962,900290
00348177,052290
01111020,232270
01117103,235010
00264644,038990
00334244,047060
00535719,082220
00790121,900090
00569992,123100
00925453,167380
01130937,240540
00232496,099830
01088458,272420
00108047,007910
00600013,094800
00609254,111610
01117495,251540
00835734,144740
01119217,242420
00865382,140890
00149877,015170
00123514,030950
01139266,900260
01018954,250300
00921475,230400
01199985,265480
00619020,135270
01179839,257730
01095397,229480
01051339,226610
01113277,247300
01197428,264290
00252755,039530
01181940,122050
00580180,176560
00473400,077280
00100717,023430
00133317,026220
01201581,265920
00200956,026180
01111570,232330
01113781,242850
01194759,262830
00527880,122800
00117638,007150
01063963,252370
00656340,210610
01194892,271400
00222806,043580
01234525,271740
00389679,065180
00526465,083380
00324104,047440
00410678,204690
00930321,159650
00307037,065310
00695464,900040
00123152,004740
01086812,205290
00961136,189540
00893923,185280
00530796,094700
00671437,123260
00102681,004200
01243550,276920
00814810,251960
01186811,284610
01066030,220110
00526447,083370
00435297,088980
00598587,108790
01243772,277480
01107665,900250
00351418,152330
00843830,220250
00647935,099350
00647883,099340
01277928,291210
00100258,030270
00255141,035480
01247918,279410
01257526,281410
00599887,099660
00601641,197210
00261735,039790
00122339,036260
00159290,023890
00116356,005190
01337114,329050
01336391,310840
00609485,103130
00173944,105840
00786331,900080
00482426,101930
00111874,005710
00109286,000490
00146719,001590
01337220,311270
00129350,001820
00144252,000910
00303217,049800
00389387,065160
00208134,058400
00125938,023600
00954242,172580
01036446,200880
00455112,045890
00112970,001070
00129554,011420
00110307,031990
01068348,217500
00612115,091270
01351114,317030
01326260,307160
01236286,900310
00364111,086080
01015726,213090
00650629,101060
00186939,026150
01169434,900300
00163691,000700
00194275,033110
00207755,028150
00133663,053060
01137897,224880
00132318,014620
00799070,900110
01343920,313750
01351822,317320
00260392,006340
00379016,094190
00523307,068240
00563147,158300
01371312,323940
00153524,011280
00962223,263860
00267881,006910
01366365,323210
00105156,014530
01262023,253610
00116073,025340
01336285,307070
00176792,079440
00366793,080440
00351630,053450
00867098,117730
00481223,079560
00989327,183350
00146649,015860
00601191,299030
00148443,002620
00148939,004700
00966168,263690
00438036,084730
01255652,281740
00664181,189300
01058101,214260
01213586,332370
00405506,361670
00268181,039110
00552992,109820
00173731,032040
00396925,058970
01141942,290740
00524421,095610
00491336,090120
00556615,087260
00447760,049950
01084294,353590
00118284,109860
00442145,083930
00411446,066310
01137295,335810
00532129,060850
01459212,382840
00244747,140860
01234297,268280
00763473,241710
00578325,092590
00442048,149950
00663289,140660
00147152,011320
00977377,203400
00494546,352910
00493501,073710
00267979,007770
00530121,109740
00166272,013520
00659815,165270
00117072,005900
00107303,033220
00393618,066830
01022902,179530
00350738,053320
00133715,008340
00946030,108490
00122728,002480
00123967,015350
00108649,048770
00231044,032820
00609324,100120
01429840,372800
00143794,005820
01267222,317530
00162780,006440
00183215,032290
00175650,068060
01139497,217910
00860730,140910
01359736,321260
00145260,008730
00118965,019180
00125488,014970
00687711,104700
00260879,042000
00861100,149010
00304915,190650
00362159,065950
01235296,299660
01066058,217950
01303029,361570
01293388,322970
01311286,317690
00606886,183490
01394377,334890
00118008,018500
00561732,159010
00132354,192400
00218052,053740
00595243,098400
00133238,005980
00417167,371950
00631837,065660
00914040,225330
00159254,006200
01395279,332710
01414361,337450
01414936,340350
00367385,097870
00632793,110020
01366824,254160
00168401,008870
00142591,012250
01407909,336570
01390876,329560
00648721,100840
00145914,017250
00266943,041140
00493431,221610
01208849,267320
01338724,950180
01135640,351330
00136341,005390
00530185,102710
01187458,270210
01046708,206640
00298687,039670
00688358,221840
00599151,289080
01532603,378850
01399071,348150
00107224,008350
00226228,066110
00872850,179440
00347877,052190
01067242,228180
01183407,270020
00964595,317870
01415892,348950
00523936,297890
00111458,014160
00218575,032560
00991191,174900
01350638,309900
00245694,111710
00134316,021820
01116274,225860
01301623,146320
01393299,330990
00872452,176440
00139685,030960
00103042,009070
01117592,240340
00120872,001080
00830447,185190
01160974,251120
00264787,033600
01265251,291650
01267684,284740
00975290,241840
00411905,182690
01414370,340120
00905316,153360
00867973,294630
00828761,228670
00104698,000680
00122348,003610
01264438,289220
00170877,018120
00963000,217320
01021949,206560
01329957,307750
00135777,016590
00866594,225850
00877819,263800
00411048,101490
00127200,005680
00147222,000950
00106456,014590
00105475,053260
00147295,006350
